agency,expenses,year
Department of Energy,1.057,2013
Department of Energy,2.084,2014
Department of Energy,14.2664,2012
Department of Energy,16.5273,2013
Department of Energy,14.27945,2014
Department of Energy,8.344,2012
Department of Energy,4,2013
Department of Energy,4.51,2013
Department of Energy,4.08,2014
Department of Energy,0.05,2012
Department of Energy,0.125,2010
Department of Energy,0.0336,2012
Department of Energy,0.1,2014
Department of Energy,9.538389,2012
Department of Energy,0.06,2012
Department of Energy,5.911801,2013
Department of Energy,10.746,2014
Department of Energy,0.557862,2013
Department of Energy,0.25,2014
Department of Energy,0.0041,2012
Department of Energy,0.16852,2013
Department of Energy,0.1,2012
Department of Energy,0.248,2012
Department of Energy,0.05,2012
Department of Energy,0.33,2012
Department of Energy,0.02,2012
Department of Energy,1.875,2012
Department of Energy,0.25,2013
Department of Energy,0.25,2012
Department of Energy,0.5,2013
Department of Energy,0.006008,2014
Department of Energy,0.016339,2013
Department of Energy,54.6442,2013
Department of Energy,60.21951,2014
Department of Health and Human Services,0.441,2012
Department of Health and Human Services,0.043,2011
Department of Health and Human Services,0.11,2012
Department of Health and Human Services,0.275,2013
Department of Health and Human Services,0.314,2012
Department of Health and Human Services,0.332,2012
Department of Health and Human Services,0.315,2011
Department of Health and Human Services,0.301,2012
Department of Health and Human Services,0.505,2013
Department of Health and Human Services,0.178,2012
Department of Health and Human Services,0.343,2011
Department of Health and Human Services,0.639,2014
Department of Health and Human Services,0.149,2013
Department of Health and Human Services,0.195,2013
Department of Health and Human Services,0.308,2014
Department of Health and Human Services,0.35,2014
Department of Health and Human Services,0.269,2014
Department of Health and Human Services,0.416,2014
Department of Health and Human Services,2.538,2011
Department of Health and Human Services,4,2013
Department of Health and Human Services,6.05,2012
Department of Health and Human Services,3.718,2013
Department of Health and Human Services,0.999,2013
Department of Health and Human Services,5.157,2014
Department of Health and Human Services,3.293,2011
Department of Health and Human Services,1.517,2011
Department of Health and Human Services,0.658,2013
Department of Health and Human Services,0.968,2013
Department of Health and Human Services,3.905,2012
Department of Health and Human Services,2.119,2013
Department of Health and Human Services,2.119,2013
Department of Health and Human Services,16.658,2010
Department of Health and Human Services,3.8,2010
Department of Health and Human Services,5.454,2010
Department of Health and Human Services,45.43,2009
Department of Health and Human Services,1,2012
Department of Health and Human Services,0.65,2013
Department of Health and Human Services,2.5,2013
Department of Health and Human Services,2.211,2014
Department of Health and Human Services,16.983,2012
Department of Health and Human Services,6,2012
Department of Health and Human Services,7.335,2012
Department of Health and Human Services,4,2013
Department of Health and Human Services,10.612,2014
Department of Health and Human Services,8,2015
Department of Health and Human Services,19.5,2014
Department of Health and Human Services,38.2,2012
Department of Health and Human Services,115.493,2011
Department of Health and Human Services,9.16,2013
Department of Health and Human Services,2.41,2012
Department of Health and Human Services,2.641,2012
Department of Health and Human Services,2.678,2012
Department of Health and Human Services,2.369,2012
Department of Health and Human Services,2.412,2011
Department of Health and Human Services,4.865,2013
Department of Health and Human Services,12.758,2014
Department of Health and Human Services,0.491,2011
Department of Health and Human Services,0.194,2012
Department of Health and Human Services,0.662,2012
Department of Health and Human Services,1.365,2012
Department of Health and Human Services,0.506,2012
Department of Health and Human Services,0.488,2012
Department of Health and Human Services,1.163,2012
Department of Health and Human Services,0.42,2012
Department of Health and Human Services,1.999,2013
Department of Health and Human Services,2.245,2012
Department of Health and Human Services,0.6,2012
Department of Health and Human Services,150.314,2004
Department of Health and Human Services,0.334,2011
Department of Health and Human Services,3.177,2011
Department of Health and Human Services,7.681,2013
Department of Health and Human Services,1.644,2012
Department of Health and Human Services,2.876,2011
Department of Health and Human Services,0.786,2009
Department of Health and Human Services,0.509,2012
Department of Health and Human Services,12.478,2009
Department of Health and Human Services,13.464,2008
Department of Health and Human Services,27.369,2009
Department of Health and Human Services,11.15,2010
Department of Health and Human Services,5.192,2011
Department of Health and Human Services,0.116,2011
Department of Health and Human Services,1.359,2011
Department of Health and Human Services,3.34,2011
Department of Health and Human Services,2.248,2011
Department of Health and Human Services,0.677,2011
Department of Health and Human Services,1.304,2012
Department of Health and Human Services,2.742,2011
Department of Health and Human Services,5.832,2012
Department of Health and Human Services,1.259,2012
Department of Health and Human Services,0.688,2012
Department of Health and Human Services,1.082,2013
Department of Health and Human Services,6.837,2012
Department of Health and Human Services,4.857,2012
Department of Health and Human Services,3.585,2012
Department of Health and Human Services,2.259,2012
Department of Health and Human Services,4.856,2011
Department of Health and Human Services,1.711,2013
Department of Health and Human Services,0.546,2013
Department of Health and Human Services,1.155,2013
Department of Health and Human Services,7.951,2012
Department of Health and Human Services,1.565,2010
Department of Health and Human Services,4.158,2013
Department of Health and Human Services,0.507,2012
Department of Health and Human Services,0.584,2011
Department of Health and Human Services,0.316,2012
Department of Health and Human Services,2.085,2012
Department of Health and Human Services,0.283,2012
Department of Health and Human Services,3.111,2013
Department of Health and Human Services,0.862,2013
Department of Health and Human Services,3.213,2014
Department of Health and Human Services,3.212,2002
Department of Health and Human Services,0.724,2004
Department of Health and Human Services,0.743,2007
Department of Health and Human Services,74.574,2004
Department of Health and Human Services,10.95,2011
Department of Health and Human Services,6.475,2011
Department of Health and Human Services,0.075,2011
Department of Health and Human Services,4.56,2012
Department of Health and Human Services,0.26,2012
Department of Health and Human Services,0.44,2012
Department of Health and Human Services,0.12,2012
Department of Health and Human Services,0.454,2012
Department of Health and Human Services,0.93,2011
Department of Health and Human Services,0.93,2011
Department of Health and Human Services,0.394,2011
Department of Health and Human Services,1.2,2011
Department of Health and Human Services,0.051,2011
Department of Health and Human Services,0.253,2011
Department of Health and Human Services,0.253,2011
Department of Health and Human Services,0.575,2012
Department of Health and Human Services,1.6,2012
Department of Health and Human Services,0.823,2011
Department of Health and Human Services,0.332,2011
Department of Health and Human Services,0.037,2011
Department of Health and Human Services,0.497,2011
Department of Health and Human Services,0.628,2011
Department of Health and Human Services,0.028,2011
Department of Health and Human Services,0.06,2012
Department of Health and Human Services,0.08,2011
Department of Health and Human Services,0.079,2011
Department of Health and Human Services,0.364,2011
Department of Health and Human Services,0.208,2012
Department of Health and Human Services,0.066,2010
Department of Health and Human Services,0.096,2011
Department of Health and Human Services,0.198,2011
Department of Health and Human Services,0.147,2011
Department of Health and Human Services,0.126,2012
Department of Health and Human Services,0.12,2011
Department of Health and Human Services,0.142,2012
Department of Health and Human Services,0.093,2012
Department of Health and Human Services,0.473,2012
Department of Health and Human Services,0.18,2012
Department of Health and Human Services,0.169,2012
Department of Health and Human Services,0.213,2012
Department of Health and Human Services,0.074,2012
Department of Health and Human Services,0.138,2012
Department of Health and Human Services,0.117,2012
Department of Health and Human Services,0.13,2012
Department of Health and Human Services,0.33,2012
Department of Health and Human Services,0.505,2012
Department of Health and Human Services,0.219,2013
Department of Health and Human Services,0.178,2013
Department of Health and Human Services,0.15,2013
Department of Health and Human Services,1.191,2013
Department of Health and Human Services,1,2013
Department of Health and Human Services,0.625,2013
Department of Health and Human Services,0.18,2014
Department of Health and Human Services,0.25,2014
Department of Health and Human Services,0.2,2014
Department of Health and Human Services,0.153,2014
Department of Health and Human Services,0.3,2012
Department of Health and Human Services,0.45,2014
Department of Health and Human Services,0.2,2014
Department of Health and Human Services,0.113,2014
Department of Health and Human Services,0.93,2013
Department of Health and Human Services,9.978,2010
Department of Health and Human Services,6.123,2011
Department of Health and Human Services,3.57,2012
Department of Health and Human Services,1.983,2012
Department of Health and Human Services,20.108,2009
Department of Health and Human Services,9,2009
Department of Health and Human Services,1.455,2012
Department of Health and Human Services,0.35,2012
Department of Health and Human Services,2.674,2010
Department of Health and Human Services,0.6,2010
Department of Health and Human Services,0.6,2013
Department of Health and Human Services,2.12,2013
Department of Health and Human Services,0.94,2013
Department of Health and Human Services,1.16,2012
Department of Health and Human Services,0.6,2012
Department of Health and Human Services,1.435,2012
Department of Health and Human Services,8.417,2010
Department of Health and Human Services,0.292,2012
Department of Health and Human Services,26.17,2009
Department of Health and Human Services,0.706,2011
Department of Health and Human Services,0.865,2012
Department of Health and Human Services,1.39,2012
Department of Health and Human Services,1.212,2012
Department of Health and Human Services,0.95,2012
Department of Health and Human Services,0.944,2012
Department of Health and Human Services,1.705,2013
Department of Health and Human Services,0.382,2013
Department of Health and Human Services,0.288,2014
Department of Health and Human Services,0.75,2014
Department of Health and Human Services,249.327,2011
Department of Health and Human Services,267.005,2011
Department of Health and Human Services,6.54,2011
Department of Health and Human Services,5.034,2012
Department of Health and Human Services,5.034,2012
Department of Health and Human Services,5.034,2012
Department of Health and Human Services,5.034,2012
Department of Health and Human Services,6.558,2013
Department of Health and Human Services,1.8,2012
Department of Health and Human Services,0.5,2012
Department of Health and Human Services,1.668,2012
Department of Health and Human Services,8.823,2011
Department of Health and Human Services,12.519,2005
Department of Health and Human Services,0.58,2012
Department of Health and Human Services,8.414,2009
Department of Health and Human Services,11.902,2005
Department of Health and Human Services,1.559,2010
Department of Health and Human Services,22.241,2008
Department of Health and Human Services,0.965,2010
Department of Health and Human Services,0.45,2012
Department of Health and Human Services,2.281,2012
Department of Health and Human Services,1.011,2012
Department of Health and Human Services,1.836,2012
Department of Health and Human Services,0.854,2012
Department of Health and Human Services,1.474,2012
Department of Health and Human Services,0.229,2012
Department of Health and Human Services,1.035,2013
Department of Health and Human Services,1.325,2013
Department of Health and Human Services,0.35,2013
Department of Health and Human Services,0.658,2013
Department of Health and Human Services,0.948,2013
Department of Health and Human Services,1.237,2013
Department of Health and Human Services,0.829,2013
Department of Health and Human Services,1.725,2013
Department of Health and Human Services,0.248,2013
Department of Health and Human Services,0.463,2014
Department of Health and Human Services,0.45,2014
Department of Health and Human Services,0.57,2014
Department of Health and Human Services,0.625,2014
Department of Health and Human Services,1.02,2014
Department of Health and Human Services,0.192,2014
Department of Health and Human Services,0.186,2014
Department of Health and Human Services,0.571,2014
Department of Health and Human Services,0.085,2014
Department of Health and Human Services,0.075,2014
Department of Health and Human Services,0.125,2014
Department of Health and Human Services,3.085,2012
Department of Health and Human Services,22.827,2013
Department of Health and Human Services,12.705,2014
Department of Health and Human Services,11.03,2012
Department of Health and Human Services,82.24,2012
Department of Health and Human Services,28.4,2012
Department of Health and Human Services,90.29,2012
Department of Health and Human Services,11.4,2012
Department of Health and Human Services,8.532,2012
Department of Health and Human Services,2.05,2012
Department of Health and Human Services,55,2011
Department of Health and Human Services,1.496,2012
Department of Health and Human Services,28,2014
Department of Health and Human Services,27.527,2014
Department of Health and Human Services,2.643,2013
Department of Health and Human Services,2.405,2013
Department of Health and Human Services,2.668,2013
Department of Health and Human Services,1.374,2013
Department of Health and Human Services,1.945,2014
Department of Health and Human Services,1.585,2014
Department of Health and Human Services,7.582,2011
Department of Health and Human Services,11.318,2012
Department of Health and Human Services,1.4,2013
Department of Health and Human Services,6.1,2013
Department of Health and Human Services,6.43,2013
Department of Health and Human Services,8.243,2014
Department of Health and Human Services,3.09,2013
Department of Health and Human Services,9.965,2012
Department of Health and Human Services,3.749,2013
Department of Health and Human Services,3.665,2013
Department of Health and Human Services,2.36,2013
Department of Health and Human Services,2.361,2014
Department of Health and Human Services,2.361,2014
Department of Health and Human Services,3.265,2013
Department of Health and Human Services,3.1,2013
Department of Health and Human Services,3.1,2013
Department of Health and Human Services,1.606,2013
Department of Health and Human Services,1.606,2013
Department of Health and Human Services,1.606,2013
Department of Health and Human Services,1.606,2013
Department of Health and Human Services,1.725,2014
Department of Health and Human Services,1.725,2014
Department of Health and Human Services,1.725,2014
Department of Health and Human Services,1.365,2014
Department of Health and Human Services,2,2014
Department of Health and Human Services,40,2012
Department of Health and Human Services,44.963,2012
Department of Health and Human Services,3,2015
Department of Health and Human Services,7,2015
Department of Health and Human Services,10,2015
Department of Health and Human Services,5.7,2015
Department of Health and Human Services,3,2015
Department of Health and Human Services,2.8,2014
Department of Health and Human Services,15.436,2011
Department of Homeland Security,21.47,2013
Department of Homeland Security,2.5,2012
Department of Homeland Security,0.313,2011
Department of Homeland Security,1,2013
Department of Homeland Security,2.288,2014
Department of Homeland Security,4.8,2014
Department of Homeland Security,0.5,2011
Department of Homeland Security,2.4,2012
Department of Homeland Security,0.748,2010
Department of Homeland Security,0.527,2010
Department of Homeland Security,2.152,2013
Department of Homeland Security,2.62,2012
Department of Homeland Security,4,2012
Department of Homeland Security,24,2014
Department of Homeland Security,8.44,2011
Department of Homeland Security,848.361,2010
Department of Homeland Security,479.215,2010
Department of Homeland Security,132.379,2010
Department of Homeland Security,861.646,2010
Department of Homeland Security,15.329,2010
Department of Homeland Security,90.046,2010
Department of Homeland Security,156.828,2010
Department of Homeland Security,314.958,2010
Department of Homeland Security,957.177,2010
Department of Homeland Security,0.883,2012
Department of Homeland Security,0.343,2012
Department of Homeland Security,2.12,2014
Department of Homeland Security,2.086,2014
Department of Homeland Security,1.419,2011
Department of Homeland Security,8.41,2013
Department of Homeland Security,181.653,2002
Department of Homeland Security,97.69,2008
Department of Homeland Security,40.4,2008
Department of Homeland Security,65.75,2012
Department of Homeland Security,236.9,2008
Department of Homeland Security,2516.82,2008
Department of Homeland Security,0.286,2011
Department of Homeland Security,1.624,2011
Department of Homeland Security,3.65,2011
Department of Homeland Security,1.19,2011
Department of Homeland Security,5.272,2011
Department of Homeland Security,3.917,2012
Department of Homeland Security,3.813,2012
Department of Homeland Security,4.553,2013
Department of Homeland Security,2.75,2014
Department of Homeland Security,7.655,2011
Department of Homeland Security,12.456,2011
Department of Homeland Security,2.92,2014
Department of Homeland Security,14.56,2011
Department of Homeland Security,3.149,2012
Department of Homeland Security,47.112,2014
Department of Homeland Security,1.98,2011
Department of Homeland Security,2,2012
Department of Homeland Security,11.289,2014
Department of Homeland Security,161.9,2010
Department of Homeland Security,21.61,2010
Department of Homeland Security,2.14,2010
Department of Homeland Security,3.19,2010
Department of Homeland Security,2.5,2004
Department of Homeland Security,1.793,2010
Department of Homeland Security,0.902,2012
Department of Homeland Security,0.052,2010
Department of Homeland Security,0.179,2013
Department of Homeland Security,2.606,2011
Department of Homeland Security,3.317,2010
Department of Homeland Security,1.459,2011
Department of Homeland Security,7.001,2012
Department of Homeland Security,1.126,2013
Department of Homeland Security,3.57,2013
Department of Homeland Security,3.85,2012
Department of Homeland Security,6.868,2014
Department of Homeland Security,8.143,2014
Department of Homeland Security,2.969,2014
Department of Homeland Security,0.856,2014
Department of Homeland Security,2.064,2014
Department of Homeland Security,2,2014
Department of Homeland Security,2.092,2012
Department of Homeland Security,2.174,2013
Department of Homeland Security,0.018,2013
Department of Homeland Security,1,2013
Department of Homeland Security,15,2013
Department of Homeland Security,10,2013
Department of Homeland Security,248.662,2009
Department of Homeland Security,4.05,2013
Department of Homeland Security,5.1,2013
Department of Homeland Security,3.55,2013
Department of Homeland Security,2.5,2013
Department of Homeland Security,1.9,2014
Department of Homeland Security,0.75,2013
Department of Homeland Security,1.2,2013
Department of Homeland Security,5.02,2013
Department of Homeland Security,0.5,2013
Department of Homeland Security,3.8,2013
Department of Homeland Security,1.5,2012
Department of Homeland Security,1.5,2013
Department of Homeland Security,1,2013
Department of Homeland Security,3.8,2013
Department of Homeland Security,2.69,2012
Department of Homeland Security,1.5,2014
Department of Homeland Security,0.88,2013
Department of Homeland Security,0.202,2013
Department of Homeland Security,3.002,2012
Department of Homeland Security,14.855,2012
Department of Homeland Security,2.279,2014
Department of Homeland Security,2.5,2014
Department of Homeland Security,2.6,2013
Department of Homeland Security,12.611,2013
Department of Homeland Security,50.281,2010
Department of Homeland Security,43.2,2011
Department of Homeland Security,8.3,2011
Department of Homeland Security,12.064,2011
Department of Homeland Security,2.36,2011
Department of Homeland Security,29.199,2012
Department of Homeland Security,0.631,2012
Department of Homeland Security,3.36,2012
Department of Homeland Security,1.513,2013
Department of Homeland Security,0.3,2013
Department of Homeland Security,0.814,2013
Department of Homeland Security,0.4,2014
Department of Homeland Security,1,2014
Department of Homeland Security,0.4,2014
Department of Homeland Security,0.4,2013
Department of Homeland Security,0.5,2013
Department of Homeland Security,1,2014
Department of Homeland Security,0.234,2012
Department of Homeland Security,2.206,2012
Department of Homeland Security,6.216,2014
Department of Homeland Security,10.656,2014
Department of Homeland Security,1.8,2011
Department of Homeland Security,5,2011
Department of Homeland Security,20,2012
Department of Homeland Security,1.2,2013
Department of Homeland Security,47.7,2014
Department of Homeland Security,3.9,2012
Department of Homeland Security,1.1,2013
Department of Homeland Security,3.69,2011
Department of Homeland Security,2.667,2012
Department of Homeland Security,0.621,2012
Department of Homeland Security,2.308,2012
Department of Homeland Security,2.99,2011
Department of Homeland Security,5.374,2012
Department of Homeland Security,3.367,2013
Department of Homeland Security,1.166,2013
Department of Homeland Security,4.31,2012
Department of Homeland Security,6.768,2012
Department of Homeland Security,3.586,2013
Department of Homeland Security,3.773,2012
Department of Homeland Security,0.204,2011
Department of Homeland Security,2.448,2012
Department of Homeland Security,19.793,2014
Department of Homeland Security,1.641,2014
Department of Homeland Security,1.64,2013
Department of Homeland Security,3.528,2013
Department of Homeland Security,33.296,2013
Department of Homeland Security,21.185,2014
Department of Homeland Security,9,2012
Department of Homeland Security,50.04,2012
Department of Homeland Security,5,2011
Department of Homeland Security,12,2013
Department of Homeland Security,19.3,2013
Department of Homeland Security,42.696,2014
Department of Homeland Security,35.378,2014
Department of Homeland Security,0.742,2011
Department of Homeland Security,1.4,2012
Department of Homeland Security,2,2012
Department of Homeland Security,2,2013
Department of Homeland Security,2,2014
Department of Homeland Security,1.5,2012
Department of Homeland Security,0.4,2014
Department of Homeland Security,0.09,2012
Department of Homeland Security,0.09,2012
Department of Homeland Security,0.12,2013
Department of Homeland Security,0.12,2013
Department of Homeland Security,0.12,2014
Department of Homeland Security,0.12,2014
Department of Homeland Security,0.25,2013
Department of Homeland Security,0.02,2012
Department of Homeland Security,0.76,2013
Department of Homeland Security,1.45,2009
Department of Homeland Security,0.75,2013
Department of Homeland Security,0.75,2013
Department of Homeland Security,1.2,2012
Department of Homeland Security,2,2012
Department of Homeland Security,0.36,2013
Department of Homeland Security,0.4,2013
Department of Homeland Security,0.15,2014
Department of Homeland Security,0.945,2012
Department of Homeland Security,0.7,2013
Department of Homeland Security,1,2014
Department of Homeland Security,0.873,2011
Department of Homeland Security,0.65,2012
Department of Homeland Security,1.33,2012
Department of Homeland Security,5.6,2013
Department of Homeland Security,0.8,2013
Department of Homeland Security,1.2,2013
Department of Homeland Security,0.68,2013
Department of Homeland Security,0.7,2014
Department of Homeland Security,2.478,2014
Department of Homeland Security,2.5,2014
Department of Homeland Security,48.264,2010
Department of Homeland Security,31,2010
Department of Homeland Security,130.878,2010
Department of Homeland Security,258,2005
Department of Homeland Security,1.75,2010
Department of Homeland Security,9.1,2011
Department of Homeland Security,9.5,2010
Department of Homeland Security,1.5,2012
Department of Homeland Security,1.338,2012
Department of Homeland Security,0.523,2011
Department of Homeland Security,276.8,2010
Department of Homeland Security,964.4,2011
Department of Homeland Security,142,2008
Department of Homeland Security,30.5,2008
Department of Homeland Security,37,2008
Department of Homeland Security,10.3,2014
Department of Homeland Security,16.751,2010
Department of Homeland Security,8.249,2011
Department of Homeland Security,0.772,2012
Department of Homeland Security,0.159,2012
Department of Homeland Security,0.25,2012
Department of Homeland Security,0.25,2009
Department of Homeland Security,0.2,2010
Department of Homeland Security,91.292,2012
Department of Homeland Security,40.9,2012
Department of Homeland Security,60,2013
Department of Homeland Security,142.98,2009
Department of Homeland Security,22.7,2011
Department of Homeland Security,3,2011
Department of Homeland Security,3,2015
Department of Homeland Security,3.5,2013
Department of Homeland Security,3,2013
Department of Homeland Security,5,2011
Department of Homeland Security,7.72,2014
Department of Homeland Security,24,2015
Department of Homeland Security,142.95,2010
Department of Homeland Security,0.8,2012
Department of Homeland Security,0.8,2012
Department of Homeland Security,0.8,2012
Department of Homeland Security,0.8,2012
Department of Homeland Security,0.8,2013
Department of Homeland Security,0.8,2013
Department of Homeland Security,0.8,2013
Department of Homeland Security,0.8,2013
Department of Homeland Security,0.8,2013
Department of Homeland Security,0.8,2013
Department of Homeland Security,0.8,2013
Department of Homeland Security,0.8,2013
Department of Homeland Security,0.8,2013
Department of Homeland Security,0.8,2013
Department of Homeland Security,0.8,2014
Department of Homeland Security,0.8,2014
Department of Homeland Security,0.8,2014
Department of Homeland Security,0.8,2014
Department of Homeland Security,0.8,2014
Department of Homeland Security,0.8,2014
Department of Homeland Security,0.8,2014
Department of Homeland Security,3.153,2013
Department of Homeland Security,0.12,2012
Department of Homeland Security,8.52,2011
Department of Homeland Security,18,2012
Department of Homeland Security,20.893,2012
Department of Homeland Security,13.379,2012
Department of Homeland Security,1.35,2012
Department of Homeland Security,3.869,2012
Department of Homeland Security,1,2013
Department of Homeland Security,1,2014
Department of Homeland Security,125.49,2008
Department of Homeland Security,107.16,2010
Department of Homeland Security,90.93,2010
Department of Homeland Security,328.24,2011
Department of Homeland Security,42.72,2013
Department of Homeland Security,16.76,2013
Department of Homeland Security,15.96,2014
Department of Homeland Security,15.38,2014
Department of Homeland Security,10,2009
Department of Homeland Security,9.421,2013
Department of Homeland Security,9.421,2014
Department of Homeland Security,67.06,2013
Department of Homeland Security,40.236,2013
Department of Homeland Security,58.144,2014
Department of Homeland Security,41.532,2014
Department of Homeland Security,15.788,2012
Department of Homeland Security,17.76,2012
Department of Homeland Security,172.564,2005
Department of Homeland Security,3,2010
Department of Homeland Security,22.848,2012
Department of Homeland Security,41.715,2012
Department of Homeland Security,60.47,2012
Department of Homeland Security,12.341,2012
Department of Homeland Security,4.608,2011
Department of Homeland Security,177.7,2009
Department of Homeland Security,27.3,2009
Department of Homeland Security,142.787,2001
Department of Homeland Security,1318.245,2010
Department of Homeland Security,0.9,2011
Department of Homeland Security,0.9,2012
Department of Homeland Security,0.9,2013
Department of Homeland Security,0.1,2010
Department of Homeland Security,0.075,2011
Department of Homeland Security,0.075,2012
Department of Homeland Security,0.075,2012
Department of Homeland Security,0.016,2012
Department of Homeland Security,0.02,2012
Department of Homeland Security,0.049,2012
Department of Homeland Security,0.8,2012
Department of Homeland Security,0.9,2014
Department of Homeland Security,0.013,2012
Department of Homeland Security,0.027,2012
Department of Homeland Security,0.025,2013
Department of Homeland Security,0.102,2013
Department of Homeland Security,0.025,2013
Department of Homeland Security,0.063,2009
Department of Homeland Security,0.419,2011
Department of Homeland Security,5,2012
Department of Homeland Security,4.5,2012
Department of Homeland Security,11.3,2013
Department of Homeland Security,0.305,2012
Department of Homeland Security,0.42,2013
Department of Homeland Security,0.287,2012
Department of Homeland Security,0.342,2013
Department of Homeland Security,0.347,2013
Department of Homeland Security,1.344,2012
Department of Homeland Security,1.44,2012
Department of Homeland Security,0.35,2012
Department of Homeland Security,0.5,2013
Department of Homeland Security,0.5,2013
Department of Homeland Security,0.575,2013
Department of Homeland Security,0.575,2013
Department of Homeland Security,0.5,2014
Department of Homeland Security,0.125,2013
Department of Homeland Security,0.75,2013
Department of Homeland Security,0.962,2013
Department of Homeland Security,4.5,2013
Department of Homeland Security,1.5,2013
Department of Homeland Security,7.2,2014
Department of Homeland Security,1.44,2014
Department of Homeland Security,1.857,2012
Department of Homeland Security,9.387,2013
Department of Homeland Security,2.651,2013
Department of Homeland Security,2.196,2013
Department of Homeland Security,2.196,2014
Department of Homeland Security,181.204,2006
Department of Homeland Security,88.783,2009
Department of Homeland Security,12.214,2009
Department of Homeland Security,42.861,2009
Department of Homeland Security,58.307,2011
Department of Homeland Security,46.456,2010
Department of Homeland Security,1.738,2013
Department of Homeland Security,0.45,2012
Department of Homeland Security,0.665,2012
Department of Homeland Security,1.4,2012
Department of Homeland Security,0.85,2012
Department of Homeland Security,0.497,2012
Department of Homeland Security,0.107,2012
Department of Homeland Security,12.6,2012
Department of Homeland Security,2.9,2012
Department of Homeland Security,0.493,2012
Department of Homeland Security,1.585,2012
Department of Homeland Security,2.774,2013
Department of Homeland Security,0.7,2013
Department of Homeland Security,0.499,2013
Department of Homeland Security,2.642,2013
Department of Homeland Security,1.9,2013
Department of Homeland Security,4.79,2013
Department of Homeland Security,0.74,2013
Department of Homeland Security,3.913,2014
Department of Homeland Security,2.927,2014
Department of Homeland Security,0.735,2014
Department of Homeland Security,0.525,2014
Department of Homeland Security,2.774,2014
Department of Homeland Security,1.995,2014
Department of Homeland Security,5.03,2014
Department of Homeland Security,4.111,2015
Department of Homeland Security,0.565,2011
Department of Homeland Security,0.938,2012
Department of Homeland Security,0.773,2013
Department of Homeland Security,0.438,2011
Department of Homeland Security,0.552,2012
Department of Homeland Security,0.328,2011
Department of Homeland Security,0.602,2012
Department of Homeland Security,0.574,2012
Department of Homeland Security,0.496,2011
Department of Homeland Security,0.683,2012
Department of Homeland Security,1.31,2014
Department of Homeland Security,1.319,2014
Department of Homeland Security,0.848,2013
Department of Homeland Security,1.133,2013
Department of Homeland Security,1.141,2014
Department of Homeland Security,1.026,2013
Department of Homeland Security,1.152,2013
Department of Homeland Security,1.16,2014
Department of Homeland Security,0.079,2012
Department of Homeland Security,0.5,2014
Department of Homeland Security,21.158,2008
Department of Homeland Security,18.252,2010
Department of Homeland Security,22.783,2009
Department of Homeland Security,1.635,2010
Department of Homeland Security,2.995,2015
Department of Homeland Security,3.705,2015
Department of Homeland Security,117.796,2011
Department of Homeland Security,44.76,2011
Department of Homeland Security,92.217,2011
Department of Homeland Security,31.907,2011
Department of Homeland Security,49.7,2011
Department of Homeland Security,67.583,2011
Department of Homeland Security,172.188,2011
Department of Homeland Security,72.961,2006
Department of Homeland Security,46.222,2006
Department of Homeland Security,65.679,2006
Department of Homeland Security,138.724,2006
Department of Homeland Security,25.541,2008
Department of Homeland Security,42.355,2008
Department of Homeland Security,17.401,2009
Department of Homeland Security,23.493,2010
Department of Homeland Security,43.765,2010
Department of Homeland Security,15.935,2012
Department of Homeland Security,39.459,2012
Department of Homeland Security,4,2012
Department of Homeland Security,49.5,2011
Department of Homeland Security,50.5,2011
Department of Homeland Security,50,2011
Department of Homeland Security,52.749,2011
Department of Homeland Security,47.749,2011
Department of Homeland Security,66.137,2011
Department of Homeland Security,24.712,2015
Department of Homeland Security,57.28,2010
Department of Homeland Security,1.8,2015
Department of Homeland Security,49.724,2013
Department of Homeland Security,15.991,2011
Department of Homeland Security,26.037,2011
Department of Homeland Security,27.533,2011
Department of Homeland Security,4.894,2011
Department of Homeland Security,134.801,2012
Department of Homeland Security,8.5,2012
Department of Homeland Security,28.275,2011
Department of Homeland Security,4.436,2013
Department of Homeland Security,1.45,2013
Department of Homeland Security,39.1,2013
Department of Homeland Security,98.748,2012
Department of Homeland Security,69.691,2005
Department of Homeland Security,12.375,2005
Department of Homeland Security,53.053,2005
Department of Homeland Security,19.925,2005
Department of Homeland Security,4.83,2005
Department of Homeland Security,0.5,2005
Department of Homeland Security,0.5,2005
Department of Homeland Security,0.5,2005
Department of Homeland Security,0.5,2005
Department of Homeland Security,0.5,2005
Department of Homeland Security,19.092,2008
Department of Homeland Security,0.589,2011
Department of Homeland Security,15.164,2010
Department of Homeland Security,50,2011
Department of Homeland Security,6.155,2010
Department of Homeland Security,10,2014
Department of Homeland Security,100,2009
Department of Homeland Security,26.036,2012
Department of Homeland Security,93.271,2012
Department of Homeland Security,19.41,2009
Department of Homeland Security,49.69,2011
Department of Homeland Security,36.91,2011
Department of Homeland Security,3,2000
Department of Homeland Security,5,2008
Department of Homeland Security,3,2003
Department of Homeland Security,22,2008
Department of Homeland Security,25,2011
Department of Homeland Security,13,2012
Department of Homeland Security,21,2012
Department of Homeland Security,23,2013
Department of Homeland Security,7.37,2011
Department of Homeland Security,3.2,2013
Department of Housing and Urban Development,41,2012
Department of Housing and Urban Development,50.55,2010
Department of Housing and Urban Development,7,2011
Department of Housing and Urban Development,92,2014
Department of Housing and Urban Development,0.25,2012
Department of Housing and Urban Development,0.3,2013
Department of Housing and Urban Development,0.8,2012
